"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
1,Hand cut crystal glass,"President of Pakistan, Dr. Arif Alvi",1/2/2023,,,In process
2,One Wool Carpet,"Prime     Minister     of     Pakistan, Mian Muhammad Shehbaz Sharif",1/4/2023,,,In process
3,One Ceramic set,Minister for Finance and Revenue,1/6/2023,,,In process
4,One Vase,Minister for Finance and Revenue,1/6/2023,,,In process
5,"One Ear Ring
One Locket One Ring","Lt.     Gen.    (R)    Nigar    Johar,
Ex-Surgeon      General      Medical Services",1/6/2023,,,In process
6,One W/Watch (Rolex),"Agha  Hassan  Baloch,  Minister  for Science and Technology",1/10/2023,,,In process
7,One W/Watch Rolex,"Minister           for           Defence, Khawaja Muhammad Asif",1/17/2023,,,"In process (Recipient has
desired to display the gift at PM House)"
8,One W/Watch Rolex,"Minister         for         Commerce, Syed Naveed Qamar",1/17/2023,,,In process
9,One vase,"President of Pakistan, Dr. Arif Alvi",1/18/2023,,,In process
10,One W/Watch Rolex,"Minister for Board of Investment, Ch. Salik Hussain",1/18/2023,,,In process
11,One W/Watch Rolex,"Ali Haider Altaf, Chief of Protocol",1/18/2023,,,In process
12,One W/Watch Rolex,"Syed Tariq Fatemi, SAPM",1/18/2023,,,In process
13,One W/Watch Tudor,Deputy    Head    of    Mission    of Pakistan to UAE,1/18/2023,,,In process
14,One W/Watch Artya,"DCP, Mr. Hussain Muhammad",1/18/2023,,,In process
15,One W/Watch Rolex,Ambassador of Pakistan to UAE,1/18/2023,,,In process
16,One W/Watch Rolex,"Minister     for     Communication, Mr. Asad Mehmood",1/18/2023,,,In process
17,One W/Watch Rolex,"MS           to           the           PM, Brig. Tajdeed Mumtaz",1/19/2023,,,In process
18,One W/Watch (Cartier),CSO to the Prime Minister,1/19/2023,,,In process
19,One W/Watch Rolex,"Minister           for           Railway, Khawaja Saad Rafiq",1/19/2023,,,In process
20,One W/Watch Rolex,Minister for Finance,1/23/2023,,,In process
21,One W/Watch CARTIER,PSO to the Prime Minister,1/24/2023,,,In process
22,One W/Watch CARTIER,ADC to the Prime Minister,1/24/2023,,,In process
23,One Date Box,"Minister for Board of Investment, Ch. Salik Hussain",1/24/2023,,,In process
24,One Smart Watch Huawei,"Lt. Ashraf Yar Khan, Pak Navy",1/24/2023,,,In process
25,One W/Watch (Dici),"Rear Admiral, Mr. Shifat Ali Khan",1/24/2023,,,In process
26,One   W/Watch   Raymond Well,"Vice Admiral, Faisal Rasul Lodhi",1/24/2023,,,In process
27,one Ceramic Glayz,"Foreign    Minister,    Mr.    Bilawal Bhutto Zardari",1/25/2023,,,In process
28,One W/Watch Rolex,"Foreign    Minister,    Mr.    Bilawal Bhutto Zardari",1/25/2023,,,In process
29,Uzbek Handmade wooden chess,"Foreign    Minister,    Mr.    Bilawal Bhutto Zardari",1/25/2023,,,In process
30,One W/Watch Rolex,"Ms.  Hina  Rabbani  Khar,  Minister of State foreign Affairs",1/26/2023,,,In process
31,One W/Watch Rolex,"Syed Tariq Fatemi, SAPM",1/27/2023,,,In process
32,One W/Watch Rolex,MS to PM Brig Tajdeed Mumtaz,1/31/2023,,,In process
33,One W/Watch Rolex,"PSO to the PM, Dr. Waqar Ahmed",1/31/2023,,,In process
34,One W/Watch Rolex,"ADC  to  PM,  Mr.  Saddam  Akhtar Bajwa",1/31/2023,,,In process
35,One Vase,"Prime  Minister  of  Pakistan,  Mian Muhammad Shehbaz Sharif",1/31/2023,,,In process
36,One W/Watch Rolex,"Prime  Minister  of  Pakistan,  Mian Muhammad Shehbaz Sharif",1/31/2023,,,In process
37,"Sheikh    Zayed    Mosque Sculpture
Six  bottles  Perfume  and oud wood
Two box of Emirate Dates Organic Honey
Four    small    pocket    of Dates","Prime  Minister  of  Pakistan,  Mian Muhammad Shehbaz Sharif",1/31/2023,,,In process
38,"Two  green  boxes  of  Al Nakhli Dates
Three  brief  case  of  new life                 Antioxidant supplement
Two boxes of honey","Prime  Minister  of  Pakistan,  Mian Muhammad Shehbaz Sharif",1/31/2023,,,In process
39,One   model   of   Sheikh Zayed Mosque,"Prime  Minister  of  Pakistan,  Mian Muhammad Shehbaz Sharif",1/31/2023,,,In process
40,One Shielf,"Prime  Minister  of  Pakistan,  Mian Muhammad Shehbaz Sharif",1/31/2023,,,In process
41,One Coin,"Prime  Minister  of  Pakistan,  Mian Muhammad Shehbaz Sharif",1/31/2023,,,In process
42,One W/Watch (Rolex),"Mr. Mohsin Raza Naqvi, Caretaker Chief Minister, Punjab",1/31/2023,,,In process
43,"One Souvenir One Ring
Holy Quran One Shawl","Secretary, Interior",2/8/2023,,,In process
44,One Shield,"President of Pakistan, Dr. Arif Alvi",2/10/2023,,,In process
45,Two Boxes of Tea,"President of Pakistan, Dr. Arif Alvi",2/10/2023,,,In process
46,A Carpet,"Secretary, Interior",2/10/2023,,,In process
47,One Tea Set,"President of Pakistan, Dr. Arif Alvi",2/14/2023,,,In process
48,Three Pens,"President of Pakistan, Dr. Arif Alvi",2/14/2023,,,In process
49,One W/Watch (Rolex),"Ms.      Marriyum      Aurangzeb, Information Minister",2/15/2023,,,In process
50,"A   box   containing   pent coat, sock","President of Pakistan, Dr. Arif Alvi",2/20/2023,,,In process
51,Two Pockets of Dates,"President of Pakistan, Dr. Arif Alvi",2/21/2023,,,In process
52,One Perfumes,"President of Pakistan, Dr. Arif Alvi",2/21/2023,,,In process
53,One Perfumes,"Brig.  Shahid  Munir,  MS  to  the President",2/21/2023,,,In process
54,One W/Watch (Rolex),"Ambassador  of  Pakistan  to  KSA, Mr. Raja Ijaz",2/24/2023,,,In process
